title,reviews_link
Thor: Ragnarok,https://www.imdb.com/title/tt3501632/reviews?ref_=tt_urv
All the Money in the World,https://www.imdb.com/title/tt5294550/reviews?ref_=tt_urv
American Made,https://www.imdb.com/title/tt3532216/reviews?ref_=tt_urv
An Inconvenient Sequel: Truth to Power,https://www.imdb.com/title/tt6322922/reviews?ref_=tt_urv
It,https://www.imdb.com/title/tt1396484/reviews?ref_=tt_urv
Wonderstruck,https://www.imdb.com/title/tt5208216/reviews?ref_=tt_urv
The Lego Batman Movie,https://www.imdb.com/title/tt4116284/reviews?ref_=tt_urv
Miss Sloane,https://www.imdb.com/title/tt4540710/reviews?ref_=tt_urv
Hounds of Love,https://www.imdb.com/title/tt3896738/reviews?ref_=tt_urv
Brigsby Bear,https://www.imdb.com/title/tt5805752/reviews?ref_=tt_urv
Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/reviews?ref_=tt_urv
A United Kingdom,https://www.imdb.com/title/tt3387266/reviews?ref_=tt_urv
Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/reviews?ref_=tt_urv
Captain America: Civil War,https://www.imdb.com/title/tt3498820/reviews?ref_=tt_urv
X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/reviews?ref_=tt_urv
The Jungle Book,https://www.imdb.com/title/tt3040964/reviews?ref_=tt_urv
Assassin's Creed,https://www.imdb.com/title/tt2094766/reviews?ref_=tt_urv
The Huntsman: Winter's War,https://www.imdb.com/title/tt2381991/reviews?ref_=tt_urv
Ride Along 2,https://www.imdb.com/title/tt2869728/reviews?ref_=tt_urv
Alice Through the Looking Glass,https://www.imdb.com/title/tt2567026/reviews?ref_=tt_urv
Finding Dory,https://www.imdb.com/title/tt2277860/reviews?ref_=tt_urv
Angry Birds,https://www.imdb.com/title/tt1985949/reviews?ref_=tt_urv
The Legend of Tarzan,https://www.imdb.com/title/tt0918940/reviews?ref_=tt_urv
Ice Age: Collision Course,https://www.imdb.com/title/tt3416828/reviews?ref_=tt_urv
Star Trek Beyond,https://www.imdb.com/title/tt2660888/reviews?ref_=tt_urv
Fantastic Beasts and Where to Find Them,https://www.imdb.com/title/tt3183660/reviews?ref_=tt_urv
Allegiant,https://www.imdb.com/title/tt3410834/reviews?ref_=tt_urv
Doctor Strange,https://www.imdb.com/title/tt1211837/reviews?ref_=tt_urv
Now You See Me 2,https://www.imdb.com/title/tt3110958/reviews?ref_=tt_urv
Teenage Mutant Ninja Turtles: Out of the Shadows,https://www.imdb.com/title/tt3949660/reviews?ref_=tt_urv
Deadpool,https://www.imdb.com/title/tt1431045/reviews?ref_=tt_urv
The Conjuring 2,https://www.imdb.com/title/tt3065204/reviews?ref_=tt_urv
The BFG,https://www.imdb.com/title/tt3691740/reviews?ref_=tt_urv
"Hail, Caesar!",https://www.imdb.com/title/tt0475290/reviews?ref_=tt_urv
Suicide Squad,https://www.imdb.com/title/tt1386697/reviews?ref_=tt_urv
Kung Fu Panda 3,https://www.imdb.com/title/tt2267968/reviews?ref_=tt_urv
Gods of Egypt,https://www.imdb.com/title/tt2404233/reviews?ref_=tt_urv
Rogue One: A Star Wars Story,https://www.imdb.com/title/tt3748528/reviews?ref_=tt_urv
The Purge: Election Year,https://www.imdb.com/title/tt4094724/reviews?ref_=tt_urv
Inferno,https://www.imdb.com/title/tt3062096/reviews?ref_=tt_urv
The Brothers Grimsby,https://www.imdb.com/title/tt3381008/reviews?ref_=tt_urv
Independence Day: Resurgence,https://www.imdb.com/title/tt1628841/reviews?ref_=tt_urv
Central Intelligence,https://www.imdb.com/title/tt1489889/reviews?ref_=tt_urv
London Has Fallen,https://www.imdb.com/title/tt3300542/reviews?ref_=tt_urv
Passengers,https://www.imdb.com/title/tt1355644/reviews?ref_=tt_urv
Neighbors 2: Sorority Rising,https://www.imdb.com/title/tt4438848/reviews?ref_=tt_urv
Ghostbusters,https://www.imdb.com/title/tt1289401/reviews?ref_=tt_urv
Underworld: Blood Wars,https://www.imdb.com/title/tt3717252/reviews?ref_=tt_urv
